Paloma III,Fund VIII,10/1/2012,2.1,0.461
Payrock ,Fund VIII,11/1/2012,4.62,0.855
Montage (Southwestern Energy),Fund VIII,2/1/2011,0.41,-0.133
PennEnergy,Fund VIII,9/1/2011,2.51,0.125
Common,Fund VII,9/1/2007,2.99,1.194
Red Arrow,Fund VII,9/1/2007,2.72,0.543
Plantation IV,Fund VII,9/1/2007,2.46,0.327
Cordillera III,Fund VII,9/1/2007,3.36,0.486
Legado,Fund VII,9/1/2007,0.92,-0.021
Cheyenne River,Fund VII,9/1/2007,0.17,-0.266
Oasis,Fund VII,10/1/2007,4.86,0.726
Piedra,Fund VII,11/1/2007,2.43,0.466
ER Energy Group,Fund VII,12/1/2007,0.02,-0.628
Earthstone,Fund VII,12/1/2007,0.22,-0.147
Limestone,Fund VII,4/1/2008,3.68,1.013
RiverStone,Fund VII,5/1/2008,1.8,46.069
OGX II,Fund VII,5/1/2008,4.34,0.374
Bold II,Fund VII,5/1/2008,1.14,0.058
PetroEdge II,Fund VII,7/1/2008,1.36,0.161
Royal,Fund VII,7/1/2008,0.44,-0.18
Protege II,Fund VII,8/1/2008,2.33,0.442
Cardinal,Fund VII,9/1/2008,1.87,0.346
HVL,Fund VII,11/1/2008,0.26,-0.312
Unconventional,Fund VII,11/1/2008,0.12,-0.313
Marquette,Fund VII,12/1/2008,5.36,1.45
Cornerstone,Fund VII,4/1/2009,0.12,-0.709
Tracker,Fund VII,6/1/2009,3.47,1.149
Empresa II,Fund VII,7/1/2009,1.11,4.443
Paloma II,Fund VII,11/1/2009,3.42,0.813
Enduring,Fund VII,3/1/2010,2.32,3.334
Phillips Energy II,Fund VII,3/1/2010,1.82,0.072
Common II,Fund VII,5/1/2010,1.65,0.496
Caiman,Fund VII,7/1/2010,4.41,1.406
Lone Star II,Fund VII,8/1/2010,0.08,-0.3
Limestone II,Fund VII,10/1/2010,0.32,-0.366
Enduring II,Fund VII,5/1/2011,2.87,0.682
Piedra II,Fund VII,7/1/2011,3.22,0.483
Core,Fund VI,8/1/2006,1.4,0.112
Lobos,Fund VI,9/1/2006,1.68,0.209
Marquette,Fund VI,9/1/2006,6.6,0.624
GulfTex,Fund VI,9/1/2006,1.72,0.316
GFI (SMDR),Fund VI,11/1/2006,1.75,0.279
Manti,Fund VI,11/1/2006,1.1,0.024
Talon,Fund VI,1/1/2007,2.71,0.657
Earthstone,Fund VI,1/1/2007,0.04,-0.266
Paloma Barnett,Fund VI,2/1/2007,2.11,1.983
Oasis,Fund VI,3/1/2007,4.86,0.666
Crimson III,Fund VI,4/1/2007,0.12,-0.757
Eagle,Fund VI,4/1/2007,1.83,0.182
Grenadier,Fund VI,4/1/2007,1.75,0.261
Mediterranean,Fund VI,4/1/2007,1.22,0.035
Staghorn,Fund VI,5/1/2007,2.59,0.529
Phillips Energy I,Fund VI,5/1/2007,2.53,0.232
Cordillera III,Fund VI,5/1/2007,3.36,0.483
Peregrine II,Fund VI,5/1/2007,0.52,-0.109
Unconventional ,Fund VI,2/1/2007,0.16,-0.202
Lone Star,Fund VI,6/1/2007,3.97,0.794
Laramie II,Fund VI,6/1/2007,0.14,-0.219
Legado,Fund VI,7/1/2007,0.92,-0.021
Red Arrow,Fund VI,8/1/2007,2.72,0.534
Renaissance,Fund VI,8/1/2007,1.27,0.074
Plantation IV,Fund VI,8/1/2007,2.46,0.326
Navidad,Fund VI,8/1/2007,1.43,0.109
Common,Fund VI,9/1/2007,2.99,1.19
Ovation II,Fund V,11/1/2004,0.21,-0.334
Escondido I,Fund V,12/1/2004,2.45,0.5
Cordillera II,Fund V,12/1/2004,1.94,0.304
Empresa ,Fund V,12/1/2004,3.92,0.98
Enduring,Fund V,12/1/2004,2.52,0.408
Shona,Fund V,2/1/2005,2.28,0.161
Bold,Fund V,3/1/2005,2.41,0.399
Crimson,Fund V,6/1/2005,1.29,0.117
Savant ,Fund V,7/1/2005,2.76,2.934
Plantation III,Fund V,7/1/2005,2.02,0.442
NCX II ,Fund V,7/1/2005,0.37,-0.268
JOG ,Fund V,7/1/2005,1.12,0.025
PAA ,Fund V,8/1/2005,4.97,0.656
GFI (SMDR),Fund V,9/1/2005,2.79,0.348
Mediterranean,Fund V,12/1/2005,1.68,0.075
Cornerstone,Fund V,12/1/2005,0.16,-0.223
OGX ,Fund V,1/1/2006,2.81,0.92
Riverbend,Fund V,3/1/2006,2.86,1.002
Tracker,Fund V,5/1/2006,2.9,0.394
EV Energy (Harvest Oil & Gas),Fund V,5/1/2006,2.12,0.401
RiverStone,Fund V,6/1/2006,1.6,0.772
Destiny,Fund V,6/1/2006,1,0.001
O'BENCO II,Fund V,7/1/2006,2,0.357
Phillips Royalty,Fund V,8/1/2006,1.64,0.45
PetroEdge,Fund V,8/1/2006,1.62,0.375
ER Energy Group,Fund V,8/1/2006,0.02,-0.915
Laramie,Fund V,9/1/2006,3.44,7.219
Earthstone,Fund V,6/30/2011,0.09,-0.223
Laredo I,Fund IV,12/1/2001,5.02,1.652
Ovation I ,Fund IV,12/1/2001,2.26,0.672
Sawtooth ,Fund IV,1/1/2002,3.4,0.709
Sierra 2002 (bridge),Fund IV,3/1/2002,1.16,0.711
Medicine Bow,Fund IV,5/1/2002,4.05,1.094
Plantation I ,Fund IV,7/1/2002,2.15,0.675
Nautilus ,Fund IV,4/1/2003,1.48,0.237
Laredo II,Fund IV,9/1/2003,6.12,2.791
Plantation II,Fund IV,11/1/2003,5.93,2.051
Petrohawk ,Fund IV,12/1/2003,3.27,1.443
Stroud ,Fund IV,1/1/2004,3.11,0.984
Tempest ,Fund IV,3/1/2004,0.03,-0.56
NGL,Fund IV,4/1/2004,1.51,0.639
Laramie,Fund IV,5/1/2004,3.44,0.892
Protege ,Fund IV,5/1/2004,2.16,0.351
Peregrine I,Fund IV,7/1/2004,0.78,-0.055
Ovation II,Fund IV,11/1/2004,0.2,-0.346
Laredo III,Fund IV,3/1/2005,4.25,1.508
Plantation III,Fund IV,7/1/2005,2,0.438
Benz,Fund III,10/1/1997,1.33,0.188
Harken ,Fund III,10/1/1997,0.85,-0.068
San Juan ,Fund III,1/1/1998,1.78,0.672
Sharpe,Fund III,5/1/1998,1.22,0.134
BreitBurn ,Fund III,6/1/1998,1.95,0.13
Plains Resources,Fund III,7/1/1998,2.38,0.289
CERES ,Fund III,8/1/1998,1.79,0.307
Matrix III,Fund III,8/1/1998,3.48,0.494
3TEC ,Fund III,12/1/1998,2.15,0.174
Bargo ,Fund III,5/1/1999,1.78,0.321
Cordillera ,Fund III,5/1/1999,2.76,0.487
Cheniere,Fund III,9/1/1999,1.25,0.302
First Permian ,Fund III,6/1/2000,1.7,0.304
American Coastal ,Fund III,9/1/2000,1.19,0.275
Dallas Production ,Fund III,11/1/2000,1.68,0.605
PetroQuest ,Fund III,12/1/2000,1.19,0.398
Plains All-American LP Units,Fund III,6/1/2001,1.68,0.225
Copano,Fund III,9/1/2001,3.43,0.378
NCX,Fund III,10/1/2001,4.88,0.696
Plains All-American GP & LP Units,Fund III,6/1/2001,9.17,0.603
MPAC II,Fund II,8/1/1996,1.18,0.047
Cliffwood ,Fund II,9/1/1996,1.93,0.36
Sierra-Harris ,Fund II,12/1/1996,1.5,0.418
Matrix II ,Fund II,12/1/1997,1.23,0.185
Duck Lake ,Fund I,6/1/1994,1.84,0.303
Paloma,Fund I,7/1/1994,2.01,0.53
Sierra 94,Fund I,7/1/1994,1.24,0.452
ATP ,Fund I,7/1/1994,1.2,0.131
Future ,Fund I,10/1/1994,1.52,0.18
TAP,Fund I,11/1/1994,0.02,-0.683
EnerVest,Fund I,2/1/1995,1.46,0.287
Sotex Frio,Fund I,2/1/1995,1.61,0.395
Matrix I,Fund I,5/1/1995,1.63,0.487
Double Diamond,Fund I,8/1/1995,1.56,0.314
MPAC I,Fund I,12/1/1995,1.4,0.071
Sierra 96,Fund I,5/1/1996,4.05,0.696
